,date,opening,closing,lowest,highest,volume,quantity,amount,avg_price
0,2019-01-01,14850,15020,14790,15201.02,480419.54286077,32.12585909,636,14954.29403194
1,2019-01-02,15073.23,15112,14900.99,15399.0,3381201.8112965,223.38307227,2575,15136.33856378
2,2019-01-03,15119,14799.99331,14485,15227.73936,4546427.75578541,307.07754249,4678,14805.4713442
3,2019-01-04,14799.99222,14849.81995,14250,15197.0,3365857.3931604,229.76933411,2718,14648.85384378
4,2019-01-05,14849.75992,14512.03,14512,14849.75992,696907.91622258,47.52765034,781,14663.20996803
5,2019-01-06,14686.99933,15052.00002,14499,15230.0,1300749.17012014,86.75673285,1232,14993.06310173
6,2019-01-07,15052.00002,15203.00001,14900.00001,15499.0,2809860.57861263,185.36383247,2512,15158.62367092
7,2019-01-08,15203.00001,15207,15057.10001,15449.0,3464337.06736011,227.02472123,2835,15259.73492486
8,2019-01-09,15233,15111.06007,14930,15353.97835,3995499.74070718,263.1576028,4646,15182.915858
9,2019-01-10,15111.06015,13932.00059,13500.02,15199.0,5053101.68339925,355.06929134,3697,14231.31148382
10,2019-01-11,14049.87994,13970.95975,13700,14299.9,4002107.42790448,286.40890486,3149,13973.40431807
11,2019-01-12,13970.95975,13882.52468,13760.38,14149.12184,444155.7794224,31.96765935,667,13893.90992188
12,2019-01-13,13778.04,13578.69,13221.84,13980.0,1090061.9146748,80.33977922,1138,13568.14675442
13,2019-01-14,13500,14117.01,13256.0002,14566.0,3931598.82025613,282.71487358,6895,13906.58641503
14,2019-01-15,14188.99994,13789.98,13590,14566.0,5609958.76811361,402.49791337,3325,13937.85801556
15,2019-01-16,13800,13683.12991926,13631,14100.0,2627744.45433728,190.70932084,2516,13778.79404511
16,2019-01-17,13683.13,13786.10159,13502.00001,14000.0,2561480.7302638,186.14386325,2389,13760.75840235
17,2019-01-18,13786,13790.06,13625.3,14085.0,2870282.89956196,207.39029977,3454,13840.00554869
18,2019-01-19,13790.06004,14001.00005,13772.009,14100.0,765122.26868173,54.62593836,902,14006.57437936
19,2019-01-20,14001.00005,13560.12047,13531.5,14069.99993,1160378.4512156,84.94303863,1220,13660.66566408
20,2019-01-21,13560.50108,13649.99993,13460.99,13809.95,1923137.06606388,141.30274151,1864,13610.04779888
21,2019-01-22,13603,13800.99,13301,13948.0,2982928.91662372,218.55332538,4383,13648.51763951
22,2019-01-23,13801.54,13669.99942,13522.01001,13950.0,2259215.31519301,164.3583753,2214,13745.66590275
23,2019-01-24,13534.64035,13631,13500.99,13760.0,1980997.47400127,145.40757715,1930,13623.75684054
24,2019-01-25,13631,13600,13500,13727.99999,2270854.11315744,166.98246452,1950,13599.35679203
25,2019-01-26,13599.9,13510,13503,13698.99999,384740.66572628,28.29029742,570,13599.73916196
26,2019-01-27,13510,13400,13305.69999,13600.01,597353.67758922,44.42507798,634,13446.31691717
27,2019-01-28,13350.00022,13099.32968,12901,13400.0,2685577.16282927,204.71175904,2396,13118.82216939
28,2019-01-29,13098.66935,12824.97999,12737,13199.27,3253629.66514179,251.57056139,2541,12933.26869075
29,2019-01-30,12760,12937.89811,12705,13150.0,2427652.41026107,187.71188605,2030,12932.86462219
30,2019-01-31,12900,12502.01,12500.3,12949.9999,3282517.19018625,258.86738633,2451,12680.30413843
31,2019-02-01,12502.03,12650,12502,12837.0,2334211.76796579,184.02072905,2079,12684.50451216
32,2019-02-02,12654,12633.00095,12600.05,12770.0,507979.14985809,40.09868163,562,12668.22571737
33,2019-02-03,12633.00099,12580,12510,12720.57631,368622.47421868,29.30133579,515,12580.39827469
34,2019-02-04,12520,12600,12460.25693,12750.0,2559163.39610164,203.25457298,2047,12590.92653405
35,2019-02-05,12600,12758,12510.5,13000.0,4583683.84617248,359.37990042,4388,12754.42460976
36,2019-02-06,12570.4403,12615,12550.00061,12830.0,2969622.45608562,234.38612463,2553,12669.78777337
37,2019-02-07,12590.03,12600,12580.00009,12760.8,1926238.58486479,151.98345749,1922,12674.00160962
38,2019-02-08,12698.81635,13464.52999,12600,13945.0,4971624.80539028,377.88620066,3792,13156.40739647
39,2019-02-09,13345.40141,13320.16041,13311,13539.39999,895374.12293615,66.81027443,1107,13401.74292914
40,2019-02-10,13399.99,13324,13300,13577.0,637214.71719669,47.47403277,821,13422.38440715
41,2019-02-11,13324,13610.4208,13321,13900.0,3755691.71893828,274.72735643,5483,13670.61426915
42,2019-02-12,13708.6999,13511,13500,13900.0,3748933.46811054,275.32953581,3137,13616.16891947
43,2019-02-13,13588.99994,13606.14006,13489.99,13900.0,4240017.04247611,309.8966891,3262,13682.03401846
44,2019-02-14,13699.99978,13435,13406.32,13797.89998,3595976.09131138,263.86937502,2825,13627.86451076
45,2019-02-15,13525.58763,13424.29108,13320,13643.0,2929101.46906387,216.98604986,2269,13499.03125548
46,2019-02-16,13424.41123,13520,13419,13695.0,821181.68522119,60.54699642,942,13562.71547352
47,2019-02-17,13502.99,13580.01,13471.9,13680.0,887314.23549599,65.42187226,888,13562.95998124
48,2019-02-18,13581.78,14422.00001,13581.78,14949.0,6323700.42235367,440.1904384,4949,14365.82867483
49,2019-02-19,14519.33786,14601.01,14422,14924.89675,3830570.88869911,260.45109457,3456,14707.44784168
50,2019-02-20,14645.98,14900.1,14600,15100.0,5039211.10666624,338.45177973,4145,14889.00755873
51,2019-02-21,14999.98998,15000,14800,15099.8,3793543.50284644,254.09325623,3104,14929.72918341
52,2019-02-22,14999.98,14916,14861.5,15094.0,2941071.34786573,196.43629742,2682,14972.13797294
53,2019-02-23,14916,15450,14860.7,15496.98999,1660941.64588193,109.17775226,1713,15213.18777406
54,2019-02-24,15450,14550,14300,15497.0,1755671.15545527,118.4131583,1932,14826.65592794
55,2019-02-25,14549.98,14430.79002,14265,14789.0,3807311.00864728,262.49832969,3053,14504.13422875
56,2019-02-26,14435.02002,14498,14342.01001,14746.0,3835354.40331919,264.19677474,2861,14517.03718599
57,2019-02-27,14400.07001,14324.68509,14100.97994,14600.0,3510514.18416925,243.25791157,2958,14431.24361922
58,2019-02-28,14340.01,14411,14324.7,14810.01,3541738.9611699,243.70063852,3021,14533.15421198
59,2019-03-01,14498.99994,14701,14385,15000.0,3940753.18360572,268.68162883,5062,14666.99900832
60,2019-03-02,14800.03934,14708,14600.0099,14826.83,726427.28690567,49.29079423,784,14737.58534942
61,2019-03-03,14708.95999,14552.00023,14535.0002,14800.0,318027.56198992,21.72579811,624,14638.2452962
62,2019-03-04,14552.00001,14250.69005,14250,14690.5,968161.98490967,67.04232306,1201,14441.05664266
63,2019-03-05,14250.69,14535.85524,14200,14600.0,1154540.69385986,79.98112259,1287,14435.16490482
64,2019-03-06,14403.00023,14830.52,14400,14999.99,3580140.04518064,242.89286729,3649,14739.58492534
65,2019-03-07,14938.97,15123.71601,14762,15300.0,4014791.33458058,266.38672432,4241,15071.28909981
66,2019-03-08,15011.97354,15199,14990.77,15450.0,5579562.77904052,365.799792,4817,15253.05071535
67,2019-03-09,15198.99999,15300,15103.00001,15400.0,946549.46038924,61.93479976,1144,15282.9986382
68,2019-03-10,15300,15230,15180.58,15394.99493,521117.55920624,34.15015249,881,15259.59684092
69,2019-03-11,15230,14910,13800,15299.65,4887425.78287027,327.84474875,3503,14907.74460016
70,2019-03-12,14900.01,15044.99999,14800,15310.0,4870998.5465567,324.77343854,3505,14998.14322348
71,2019-03-13,15044.71997,15049.99999,14837.0009,15100.0,3279022.57294587,218.83038231,2417,14984.31131149
72,2019-03-14,15049.99999,15051.96754,14780.09,15200.0,3883525.2204583,258.39135066,3283,15029.625452
73,2019-03-15,15110,15240,14985,15249.45342,4084184.34409915,270.08157207,3372,15122.04002959
74,2019-03-16,15150,15221.94779,15050,15350.0,1193228.30091497,78.32651023,1607,15234.02865021
75,2019-03-17,15220.36156,15198.98999,15089.01024,15290.0,694355.90462428,45.81518995,891,15155.58279649
76,2019-03-18,15198.98999,15311,15060,15447.0,4863620.30150746,318.04326159,3993,15292.32305439
77,2019-03-19,15311,15400,15210.00001,15510.0,6091370.31792058,396.31107825,4156,15370.17421975
78,2019-03-20,15370,15413.05,15295,15530.0,4411883.21908198,286.20782326,3538,15414.96374497
79,2019-03-21,15500,15432.00001,15340,15600.0,4432241.14722401,286.5664446,3646,15466.71367406
80,2019-03-22,15539.1,15990,15410.15,15990.0,3984543.36656315,253.36846957,4593,15726.27949059
81,2019-03-23,15990.29,15950.2,15900.01,16286.0,1919301.44260005,119.38807794,2853,16076.15664576
82,2019-03-24,15950.2,15960,15903.9,16049.99993,417501.00547452,26.14915299,809,15966.13877452
83,2019-03-25,15905.02,15500,15222.00001,16049.98,6896164.76363831,441.59167916,4235,15616.60939073
84,2019-03-26,15500.00001,15497.00205,15200,15618.94534,4636714.86744037,300.44741244,3804,15432.7002845
85,2019-03-27,15497.00205,16139.34938,15472,16250.0,5201834.23314023,326.45346292,4465,15934.38215239
86,2019-03-28,16139.08885,15876.92052,15781.98176,16199.0,5700108.04750939,355.58583382,3872,16030.18879091
87,2019-03-29,15877,16414.09,15875.98976,16479.9,5729778.40400581,353.50622474,5160,16208.42294423
88,2019-03-30,16414.09,16486,16230.03,16499.99,1529624.5262767,93.3556353,3310,16384.91903955
89,2019-03-31,16484,16451.95642999,16352.97,16649.0,1398312.28636155,84.7669604,2453,16495.95880002
90,2019-04-01,16451.95642999,16410.00002,16182.00001,16580.0,8253940.11104824,503.58096699,4764,16390.49259622
91,2019-04-02,16518.69886,19479.89,16419.00017,19990.0,15692299.91002463,844.5061036,11831,18581.62995285
92,2019-04-03,19479.88999,19474.99976999,18001,20999.9,16799895.26191303,845.64902823,12171,19866.27395182
93,2019-04-04,19351.00901,19295,18765.43002,19949.98,9107625.84057477,471.35969346,6756,19322.02936937
94,2019-04-05,19294.99999,19865,19009,20000.0,7268414.70230856,370.01510496,5823,19643.56212726
95,2019-04-06,19865,20079,19657,20350.0,3052356.89185196,152.44319189,3477,20022.91380814
96,2019-04-07,20079,20470,20000,20500.0,2727561.8814697,134.87810091,2932,20222.42204677
97,2019-04-08,20470,20887,20300,20899.0,8897903.32641765,433.41851458,7651,20529.58751667
98,2019-04-09,20887,20573,20351,20898.99,8937228.24951603,434.61033751,5483,20563.77282859
99,2019-04-10,20480,20682.59675,20405.26001,21100.0,9270250.93833501,448.0592504,6257,20689.78808061
100,2019-04-11,20819.97999,19504.00004,19500,20819.97999,11485131.39854657,574.48381579,6961,19992.088694
101,2019-04-12,19631.99,20168.05001,19500,20500.0,7201972.37264355,359.7662652,5509,20018.4760754
102,2019-04-13,20168.05001,20187.72988,20015,20326.95645,848118.60233886,42.07600058,1324,20156.82552162
103,2019-04-14,20187.7,20249.9,19926.09999999,20300.0,1004798.65907665,49.84158071,1271,20159.84735562
104,2019-04-15,20299,19886.90001,19600.9,20400.0,7762969.61870585,386.66994456,5612,20076.4753711
105,2019-04-16,19886.9,20380,19800,20550.0,7394954.42255951,365.4824641,5677,20233.40419565
106,2019-04-17,20380,20881.00999999,20257.00001,20999.99997,7951960.0565723,383.65785523,5903,20726.69684243
107,2019-04-18,20881,21001.07001,20753,21349.99,7818785.00743795,370.92951781,5907,21078.89674998
108,2019-04-19,21003.04,21080,20871,21198.79,1732462.79734687,82.35571552,2186,21036.33957167
109,2019-04-20,21139,21145,21080,21279.65875999,1028280.4945856,48.55052387,1465,21179.59627663
110,2019-04-21,21265,21100,21020,21277.96,1423331.21304251,67.31859939,1589,21143.20894878
111,2019-04-22,21159.98,21712.68999999,21080,21989.0,10227575.52553196,476.79532199,6850,21450.6624831
112,2019-04-23,21712.68999999,22392.9,21501.0001,22675.89675,12269834.61849496,549.70784422,7962,22320.64677175
113,2019-04-24,22392.88,22234.47975,21789.38,22570.0,11570681.93954741,522.50691518,7053,22144.55273871
114,2019-04-25,22100.00001,21755,21001.13,22300.0,11321416.30713201,516.43506772,6628,21922.24543758
115,2019-04-26,21755,20723.40046,20200,21799.0,12008694.96368088,577.867925,6605,20781.03740345
116,2019-04-27,20723.64092,21198.84999999,20614.11,21700.0,4261793.00370687,201.3294201,3594,21168.25748363
117,2019-04-28,21199,21126.00955,20900,21534.84,1629144.05184904,77.02031178,1501,21152.1352483
118,2019-04-29,21126.01026,20819.99993,20459.09,21500.0,9954444.01177481,478.0686948,5735,20822.20425652
119,2019-04-30,20819.99993,21200,20675,21497.0,9587022.62967912,455.38551273,6016,21052.54199284
120,2019-05-01,21200,21118.09,21062.84701,21350.0,2144522.88409434,101.10892554,2421,21210.02545166
121,2019-05-02,21118.2,21800,21100.7,21998.0,10727118.64192596,494.01188545,7020,21714.29262709
122,2019-05-03,21800,22991,21762.96755,23150.0,17308709.46709231,762.71445311,10254,22693.56427758
123,2019-05-04,22991.99999,22989.99993,22401,23189.99998,3803316.63014562,166.7196683,2893,22812.64513615
124,2019-05-05,22920,22828.99993,22750,23159.04538,1879144.19162094,81.85233099,1931,22957.73582612
125,2019-05-06,22828.99993,23149,22650,23149.0,8744393.59798784,380.99363888,6013,22951.54749484
126,2019-05-07,23149.41,23597,23031.1,24000.0,13105828.8282966,552.34308839,9248,23727.69589006
127,2019-05-08,23535.82,24016,23300,24100.0,9758287.99229698,413.09170737,6876,23622.57052901
128,2019-05-09,24017,24980,23854.79002,24980.0,9920548.21522414,407.01626527,8294,24373.83726825
129,2019-05-10,24980,25889.98985,24900.04003,25954.0,16985475.2403743,666.32322823,10818,25491.34492203
130,2019-05-11,25889.98,28260,25800.12004,29323.67549,14285078.36524637,517.07504391,11321,27626.70241678
131,2019-05-12,28258,26399.99,25100,28500.0,9253009.71683205,345.24243959,6800,26801.48398852
132,2019-05-13,26399.99,31690,26320,33300.0,39549684.31917049,1295.36825374,22657,30531.61462385
133,2019-05-14,31532.00002,32000.12,30200,33298.0,31103257.47777972,968.25925626,20252,32122.86097622
134,2019-05-15,32100,33201.98,31907,33390.0,19929907.65178514,609.62019579,18356,32692.33498073
135,2019-05-16,33201.98,31950,31750,33250.0,18150830.30732705,560.1858483,11807,32401.44384655
136,2019-05-17,31950,30200,27508.01,32300.0,28505917.08164049,954.94816658,16210,29850.74800837
137,2019-05-18,30101.91001,31602.85001,30017,32150.0,5992545.46972808,193.28517306,4977,31003.64800288
138,2019-05-19,31602.85001,31708,31500,32700.0,8832176.23388671,274.4722213,6158,32178.76181441
139,2019-05-20,31899.99993,32599.99999,31550,33010.0,17500204.15192858,541.35252226,10856,32326.81742918
140,2019-05-21,32599.99999,32710.49,32250.00001,32987.0,11246410.94591036,344.29232657,9464,32665.29654596
141,2019-05-22,32699.99993,31720.97984,31438.00001,32780.0,16044329.68987119,499.33475342,11036,32131.41000097
142,2019-05-23,31720.97984,32069.9593,31050,32399.0,9722930.5657206,305.29312197,7717,31847.85331218
143,2019-05-24,31856.01111,32648.71897,31750,32849.0,11312882.46212986,347.91101328,8877,32516.59772272
144,2019-05-25,32380.32044,32579.99993,32320,32646.91995,1914793.17397365,58.89477313,2289,32512.10713974
145,2019-05-26,32402.99,34015.00004,32200,34897.0,15667101.48485572,465.84301029,9461,33631.71956814
146,2019-05-27,34189.99993,35400,33991.11,35950.0,18240142.47310441,517.6034397,14316,35239.60830646
147,2019-05-28,35450,35320,35000,35700.0,13380592.23952404,377.88148728,11329,35409.49395493
148,2019-05-29,35319.99,34599,34501,35500.0,14260289.10974748,405.0715233,10843,35204.37327604
149,2019-05-30,34599,34247.95985,32803.01999999,35800.0,24760586.54840274,714.76140318,13400,34641.75099304
150,2019-05-31,33900.02023,34395,33200,34787.99,13351528.16878479,393.25437917,8936,33951.37823249
151,2019-06-01,34395,34414.87976,34200,34648.0,1963688.93062406,57.13047552,2339,34372.00395674
152,2019-06-02,34242.3,34401,34201.83154,34850.0,2881677.56742655,83.29492492,2621,34596.07617383
153,2019-06-03,34499.99,32898.64893,31020,34700.0,20273482.54311978,607.30332095,11862,33382.7954556
154,2019-06-04,32869.95983,31795.95864,29501,32869.95983,27839628.17076695,902.50342428,14955,30847.11638958
155,2019-06-05,31700,30898.99,30000,31989.0,16306909.07701465,529.59754559,9664,30791.13415989
156,2019-06-06,31141.59993,30411,29500,31143.48,11320373.80055996,372.65864657,8388,30377.32762879
157,2019-06-07,30411,31687.93,30398.99993,31999.0,12348528.2673462,394.60605062,9416,31293.30695245
158,2019-06-08,31687.92,31425,31000,31800.0,3085770.39202697,98.38863117,2640,31363.07879611
159,2019-06-09,31410.00536,30744.50566,30003.02,31439.8,3986156.29886732,129.93161473,2611,30678.87909223
160,2019-06-10,30729.99924,31330.86989,30286.56806,31600.0,10292142.02872828,328.86856682,8745,31295.60884534
161,2019-06-11,31400,31200.04001,30300,31495.0,11303601.67383327,365.32847892,9069,30940.92666208
162,2019-06-12,31200.04001,31755,30898.09924,31998.5,12615987.37536639,400.30608413,9444,31515.85218292
163,2019-06-13,31755,32030.00003,31453.97835,32897.0,16856883.97984945,524.29847405,13234,32151.3123043
164,2019-06-14,32030.00003,33697.95988,32015.01,33990.0,14124867.7451342,427.75388544,13888,33021.01564923
165,2019-06-15,33590,34249.99,33450.03,34310.58,4938154.02314909,145.83835592,4716,33860.46141289
166,2019-06-16,34203,34450.11,33400,35399.0,10048189.98092239,290.74586389,7391,34560.04445423
167,2019-06-17,34450.11,35400.39,34323,36000.0,24583320.41809156,690.77535406,15930,35588.01030408
168,2019-06-18,35440,35600,34902,35859.89993,14934087.60347,421.93196227,11357,35394.53973366
169,2019-06-19,35405.00006,35900,35200,35900.0,10555717.25635304,296.02513054,9499,35658.17955082
170,2019-06-20,35900,36997,35600,36998.99,8475895.15389319,233.50889017,7706,36297.95485611
171,2019-06-21,36997,41238.9,36800.00001,41400.0,28284078.55609315,731.87085912,18994,38646.26963027
172,2019-06-22,41238.9,40001.11,38000,42950.0,33409004.68011367,820.01689133,18643,40741.84938547
173,2019-06-23,40010.08,40500.00003,40000,41500.0,8471873.78807275,208.08374511,6032,40713.77023512
174,2019-06-24,40500.00003,42689.99,40350,42699.3,23703220.69289943,563.82241222,16421,42040.22433157
175,2019-06-25,42675.89,46099.99992,42361.1,47450.0,46311038.71906769,1033.40059559,26915,44814.21717453
176,2019-06-26,46099.99,48990,41000,54943.0,108507413.83557886,2180.62199283,51256,49759.84567355
177,2019-06-27,48990,42250,40000,49497.9999,73738010.47684237,1678.41215077,34343,43933.19629091
178,2019-06-28,42250,45350,42001.05,47990.0,40787649.93953112,885.41161712,22446,46066.3144134
179,2019-06-29,45350,45995,44010,47600.0,13547845.77722719,294.19210886,7404,46051.01690091
180,2019-06-30,45891.05001,43759.99992,42550,46300.0,19057906.2025323,433.4888448,9573,43964.00606646
181,2019-07-01,43749.93986,40350,38202,43903.0,43190968.70513247,1059.09565393,20669,40780.98946479
182,2019-07-02,40350,42200,38000.01,43600.0,38801047.9693794,951.38799971,20008,40783.62138392
183,2019-07-03,42200,44949.99992,41600.99993,45100.0,36049055.17132751,821.58331766,19833,43877.54034977
184,2019-07-04,44800.00003,43033,42279.99,45735.05634,26855563.50180083,602.22038553,16367,44594.24514194
185,2019-07-05,43033,43400.16,42245,44499.0,18415320.10655909,424.70556131,11613,43360.20477282
186,2019-07-06,43400.18,43348,43010,44293.0,6435503.34818057,147.2967035,4241,43690.74931931
187,2019-07-07,43301.12,43701,43000,43990.0,3302460.21366595,75.6545976,2868,43651.81123725
188,2019-07-08,43711,47000,43700,47602.1,38131103.13551638,837.22118862,19888,45544.83767708
189,2019-07-09,47100,48200.97003,46100,49000.0,29379196.09324897,618.88455396,17168,47471.2059055
190,2019-07-10,48389.93994,45789.99993,44102,49800.0,46078968.04821956,978.24473658,23162,47103.7219268
191,2019-07-11,45552.06004,43430,42600,45899.09,33013371.63277989,743.02063424,14956,44431.29855545
192,2019-07-12,43430,44521.00003,42900,45499.0,15285495.70021635,343.90253634,9861,44447.17350122
193,2019-07-13,44679.98993,43799.94953,42000,44710.63,11820373.78243763,272.62313316,6412,43357.92654653
194,2019-07-14,43605.00004,39589.77943,39001,43898.90574,19064269.08506852,462.89755784,8801,41184.6395864
195,2019-07-15,39589.75941,41401,39001,42500.0,21888068.39406308,534.06648103,12294,40983.78979307
196,2019-07-16,41401,35451.13003999,35000,41849.86997,40360494.03631718,1055.33222986,20275,38244.34893045
197,2019-07-17,35452.00003,36610.00006,34300,38500.0,26671919.40893472,723.99169936,15067,36840.09006251
198,2019-07-18,36701.39,38450,34500,40000.0,46706646.29385951,1237.04990821,23054,37756.47690808
199,2019-07-19,38500,38799.98,38000,39495.0,21630088.16575444,558.6724934,13350,38716.9377789
200,2019-07-20,38799.98,39699.96992,38515.55014,40500.0,14242523.97268559,358.59726601,8177,39717.32448258
201,2019-07-21,39560,39241.99996999,39000,39850.0,4842738.22210607,122.963438,3687,39383.56230822
202,2019-07-22,39245.00001,38600,38200,39797.87,15132208.50244579,389.73663592,10664,38826.75403795
203,2019-07-23,38798.99998999,37430.96998,37000,38800.0,18795868.71374755,496.26233582,11960,37874.86447604
204,2019-07-24,37429.92993,38149.96992,36523,38400.0,16169688.77795225,433.63852169,10592,37288.40490216
205,2019-07-25,38149.95992999,37497.99991,37300,38459.99,12117012.63806351,319.44166251,9409,37931.84815923
206,2019-07-26,37365.00003,37785.01999999,37332,38200.0,10315473.23432637,274.04133736,7928,37642.03362055
207,2019-07-27,37899.98993,36748.97985,36258,38045.99,9070967.81715525,246.28238572,5854,36831.57360457
208,2019-07-28,36528.98984,36206.00001,36051.12999999,36975.0,3709038.3317886,101.6420885,2746,36491.16607623
209,2019-07-29,36496.93914,36220.98,36080,36699.98992,9737521.39355373,267.13297998,7436,36451.96259287
210,2019-07-30,36220.97999,36999.99993,36050,38400.0,12489265.62170201,338.38463679,9711,36908.48893193
211,2019-07-31,36820.00003,37803.6,36811.01,38200.0,15572744.33211783,412.55461222,11030,37747.11000882
212,2019-08-01,37805,39375.00004,37800,39999.9999,20572531.46738025,528.92111506,14502,38895.27357032
213,2019-08-02,39597.69991,41111,39375.00004,41759.0,32033241.73401688,788.64309073,19716,40618.17330367
214,2019-08-03,41200,41400,41000,41959.99,10873597.8129165,262.19991644,6457,41470.63797941
215,2019-08-04,41400,42999,41045,42999.0,12320210.00601252,294.14308104,7591,41885.09198323
216,2019-08-05,42999,44870,42000,46300.0,71571338.6708794,1588.93939305,31540,45043.46671995
217,2019-08-06,44900,45300,44139.00001,46452.99,43105539.21718456,946.75819365,20338,45529.61834003
218,2019-08-07,45300,46500.97006,45075.22,47825.0,35619295.09725865,765.68280383,18804,46519.64876197
219,2019-08-08,46501.00004,46295.8596,45798,46900.0,17668396.27140314,381.64766875,12144,46295.04571394
220,2019-08-09,46295.79994,46280.0001,46150,46700.0,11466825.84049845,246.86477536,9329,46449.82591694
221,2019-08-10,46280.0001,45599.92958,45000,46600.0,8972772.57220894,196.67352387,6041,45622.67658426
222,2019-08-11,45470.5,45489.81756,45000,45800.0,3553064.98651459,78.13471801,3053,45473.57534534
223,2019-08-12,45489.79725,45639.94,45009.33,46500.0,11523325.37484181,252.52715099,9203,45632.02542643
224,2019-08-13,45549,43140,42000,45748.5671,26683460.8051064,606.24883539,14986,44014.0405177
225,2019-08-14,43139.99,41100,41000.01999999,43849.0,19821464.52151691,469.21574557,12012,42243.81792098
226,2019-08-15,41100,42199.89999,40000,43500.0,22759552.81920114,548.55415335,12580,41490.07473593
227,2019-08-16,41980.00004,42102.96999,40550,42490.0,14984425.36589174,359.51795421,9429,41679.21293059
228,2019-08-17,42102.98,41485,41111.11,42200.0,3245991.50893917,77.83813739,3047,41701.81375562
229,2019-08-18,41381,41760.46,41251.43998,42100.0,2793954.34978613,66.81569128,2544,41815.84140284
230,2019-08-19,41998.99992,43994.98941,41630,44830.0,24128637.90434523,553.11857947,14429,43622.90257446
231,2019-08-20,43850.02001,43500,43000,44469.99004,14021689.17794534,321.20249959,9299,43653.73618151
232,2019-08-21,43500,40890.00001,40310,43950.0,27782708.72732441,667.87055907,14572,41598.94211538
233,2019-08-22,40999.99998999,41161.00001,40601,41920.0,11194985.76951751,271.05872455,9884,41300.96084567
234,2019-08-23,41344.70984,41915.3301,41120,42999.0,13185665.05564026,312.33987599,10503,42215.75939942
235,2019-08-24,41915.35011,41507,41200,42349.99998,4331917.37834841,104.3037961,3770,41531.73269163
236,2019-08-25,41529,42218,41500,43000.0,7147373.56682659,168.63747398,4396,42383.06823591
237,2019-08-26,42303.19999999,42420,41950.93597,43100.0,14588112.79865478,342.23444972,9658,42626.07931665
238,2019-08-27,42780,42212.00004,42001,42850.0,10049828.57801365,236.80142066,7776,42439.89985365
239,2019-08-28,42397.99992,41198.98999,40800,43200.0,20706923.05687296,495.17078137,11923,41817.74013317
240,2019-08-29,40965.00004,40169.97829,40000,41199.99991,17557824.00444328,435.15867354,11515,40348.09615906
241,2019-08-30,40169.97803,40335.07032,39850,40867.0,10636493.91688372,263.54124372,7829,40359.88358689
242,2019-08-31,40355.8,40401.99998999,39964.5,40900.0,3205751.00667028,79.46294674,2506,40342.71491541
243,2019-09-01,40213.00017,40520.01,40206,40800.0,2050988.10652374,50.67185082,2244,40475.8869734
244,2019-09-02,40514.42315,42450,40360,43213.08999999,22808527.62660932,540.98993546,13813,42160.72450075
245,2019-09-03,42450,43215,42216.58272,44798.0,35227287.50738645,804.75635178,19201,43773.85457035
246,2019-09-04,43215,43564.00001,43000,44358.69,21503998.30928148,491.39861259,11926,43760.80387354
